живой душа нет не, {'Literature': 7}
зима и лет, {'Literature': 4}
знать наш, {'Literature': 6}
нечего говорить, {'Literature': 5}
след простыть, {'Literature': 4}
играть роль, {'Literature': 4}
из-под нос, {'Literature': 3}
как ни в что не бывать, {'Literature': 12}
как два капля вода, {'Literature': 5}
как заводить, {'Literature': 4}
как рука снимать, {'Literature': 5}
как часы, {'Literature': 4}
легкий рука, {'Literature': 4}
ломать себя голова, {'Literature': 3}
на возраст, {'Literature': 7}
на каждый угол, {'Literature': 3}
на колесо, {'Literature': 8}
на ощуп, {'Literature': 22}
на равный, {'News': 7}
на уровень, {'News': 83}
не находить место, {'Literature': 5}
не по карман, {'Literature': 3}
не по себей, {'Literature': 12}
не с рука, {'Literature': 3}
не сахар, {'Literature': 4}
ни капля, {'Literature': 7}
ни на минута, {'Literature': 6}
никакой сила, {'Literature': 3}
никой образ, {'News': 5}
нос к нос, {'Literature': 5}
один мах, {'Literature': 3}
от весь сердце, {'Literature': 5}
по свет, {'Literature': 12}
по пята, {'Literature': 4}
под бок, {'Literature': 3}
под стать, {'Literature': 14}
пожить увидеть, {'Literature': 3}
поставлять точка, {'News': 8}
при случай, {'Literature': 3}
прятаться в куст, {'Literature': 6}
рука подавать, {'Literature': 5}
с разбег, {'Literature': 8}
сдвигаться с место, {'Literature': 5}
так он и надо, {'Literature': 4}
черный пятно, {'Literature': 10}
то ли дело, {'Literature': 3}
то и глядеть, {'Literature': 4}
хоть бы что, {'Literature': 3}
что называться, {'Literature': 14}
как отрезать, {'Literature': 3}
ни рука, {'Literature': 12}
стоять столб, {'Literature': 4}
не дело, {'Literature': 9}
ум непостижимый, {'Literature': 4}
упасти бог, {'Literature': 3}
без малое, {'Literature': 7}
без надобность, {'Literature': 4}
без оглядка, {'News': 3}
биться об заклад, {'Literature': 3}
бог миловать, {'Literature': 2}
божий коровка, {'Literature': 8}
более или менее, {'Literature': 7}
больной место, {'Literature': 3}
бросаться в глаз, {'Literature': 8}
в загон, {'Literature': 2}
в мундир, {'Literature': 3}
в один голос, {'Literature': 4}
в один рука, {'Literature': 17}
в почет, {'Literature': 2}
на смех, {'Literature': 2}
видать вид, {'Literature': 11}
и видимо и невидимый, {'Literature': 4}
во весь горло, {'Literature': 7}
воздушный поцелуй, {'Literature': 3}
глаз да глаз нужный, {'Literature': 3}
глаз открываться, {'Literature': 4}
глаз разбегаться, {'Literature': 5}
давать воля, {'Literature': 3}
далеко заходить, {'Literature': 3}
давать фора, {'Literature': 2}
день за день, {'Literature': 3}
диво даваться, {'Literature': 4}
до зуб, {'Literature': 2}
до отказ, {'Literature': 6}
до последний капелька, {'Literature': 2}
до упад, {'Literature': 3}
добрый час, {'Literature': 2}
душа и тело, {'Literature': 4}
едва ль не, {'Literature': 10}
живой место не оставлять, {'Literature': 3}
за вычет, {'News': 2}
крутить голова, {'Literature': 28}
замещать след, {'News': 5}
видеть толк, {'Literature': 4}
быть таков, {'Literature': 4}
и конец, {'Literature': 10}
играть в прятки, {'Literature': 3}
идти свой путь, {'Literature': 6}
идти в гора, {'Literature': 3}
из рука в рука, {'Literature': 5}
из ряд вон, {'News': 3}
из-за угол, {'Literature': 7}
